StockID,Date,Time,Open,High,Low,Close,Volume
GOOG," ",14:59:00,871.7401,872.0700,871.5900,871.8400,121500
YHOO," ",14:59:00,48.2600,48.3000,48.2600,48.2650,159800
BABA," ",14:59:59,114.9600,114.9800,114.7700,114.7700,151100
SINA," ",14:59:04,75.1100,75.1600,75.1000,75.1300,75700
BAC," ",14:59:00,23.8700,23.9000,23.8700,23.8900,1531500
TSLA," ",14:59:04,310.2000,310.2650,309.9100,310.2300,38100
TCEHY," ",14:59:59,31.1300,31.1500,31.1300,31.1500,55500
COP," ",14:59:59,48.3500,48.3700,48.3200,48.3250,95800
NTES," ",14:59:59,265.3000,265.6000,265.2800,265.5800,30000
WUBA," ",14:59:05,39.0200,39.0400,39.0200,39.0200,129200
