,symbol,time,price,volume
0,NFLX,2020-03-27 16:00:00,357.15,158400
0,NFLX,2020-03-27 15:59:00,356.658,61372
0,NFLX,2020-03-27 15:58:00,357.17,49441
0,NFLX,2020-03-27 15:57:00,356.83,37336
0,NFLX,2020-03-27 15:56:00,357.8571,51511
0,NFLX,2020-03-27 15:55:00,357.15,43490
0,NFLX,2020-03-27 15:54:00,357.76,39512
0,NFLX,2020-03-27 15:53:00,357.27,42451
0,NFLX,2020-03-27 15:52:00,357.3103,70089
0,NFLX,2020-03-27 15:51:00,358.365,47185
0,NFLX,2020-03-27 15:50:00,360.3201,23958
0,NFLX,2020-03-27 15:49:00,360.69,39359
0,NFLX,2020-03-27 15:48:00,361.27,16002
0,NFLX,2020-03-27 15:47:00,361.6139,15088
0,NFLX,2020-03-27 15:46:00,361.86,19724
0,NFLX,2020-03-27 15:45:00,361.84,25271
0,NFLX,2020-03-27 15:44:00,360.8,24930
0,NFLX,2020-03-27 15:43:00,361.36,42976
0,NFLX,2020-03-27 15:42:00,361.305,20090
0,NFLX,2020-03-27 15:41:00,362.51,34204
0,NFLX,2020-03-27 15:40:00,363.5,22032
0,NFLX,2020-03-27 15:39:00,363.8448,12019
0,NFLX,2020-03-27 15:38:00,363.7,16505
0,NFLX,2020-03-27 15:37:00,364.3,18695
0,NFLX,2020-03-27 15:36:00,364.21,17186
0,NFLX,2020-03-27 15:35:00,364.93,14253
0,NFLX,2020-03-27 15:34:00,364.4625,18252
0,NFLX,2020-03-27 15:33:00,364.5,20122
0,NFLX,2020-03-27 15:32:00,365.26,20557
0,NFLX,2020-03-27 15:31:00,365.77,25580
0,NFLX,2020-03-27 15:30:00,366.05,27592
0,NFLX,2020-03-27 15:29:00,367.2,15278
0,NFLX,2020-03-27 15:28:00,367.775,14607
0,NFLX,2020-03-27 15:27:00,367.56,8985
0,NFLX,2020-03-27 15:26:00,367.51,10629
0,NFLX,2020-03-27 15:25:00,367.25,15338
0,NFLX,2020-03-27 15:24:00,367.1901,10613
0,NFLX,2020-03-27 15:23:00,367.09,13175
0,NFLX,2020-03-27 15:22:00,367.74,10341
0,NFLX,2020-03-27 15:21:00,367.75,9286
0,NFLX,2020-03-27 15:20:00,367.77,10018
0,NFLX,2020-03-27 15:19:00,368.31,12299
0,NFLX,2020-03-27 15:18:00,368.0286,13605
0,NFLX,2020-03-27 15:17:00,367.61,12335
0,NFLX,2020-03-27 15:16:00,367.35,7485
0,NFLX,2020-03-27 15:15:00,367.26,11516
0,NFLX,2020-03-27 15:14:00,367.75,13477
0,NFLX,2020-03-27 15:13:00,368.36,15554
0,NFLX,2020-03-27 15:12:00,368.3,8870
0,NFLX,2020-03-27 15:11:00,367.895,14284
0,NFLX,2020-03-27 15:10:00,368.03,16088
0,NFLX,2020-03-27 15:09:00,368.18,11185
0,NFLX,2020-03-27 15:08:00,368.0,32401
0,NFLX,2020-03-27 15:07:00,367.785,11218
0,NFLX,2020-03-27 15:06:00,367.1,8862
0,NFLX,2020-03-27 15:05:00,367.82,9303
0,NFLX,2020-03-27 15:04:00,367.5125,9265
0,NFLX,2020-03-27 15:03:00,367.36,14007
0,NFLX,2020-03-27 15:02:00,367.19,16366
0,NFLX,2020-03-27 15:01:00,367.28,17290
0,NFLX,2020-03-27 15:00:00,367.95,22225
0,NFLX,2020-03-27 14:59:00,367.52,21024
0,NFLX,2020-03-27 14:58:00,367.1,7531
0,NFLX,2020-03-27 14:57:00,366.9394,12750
0,NFLX,2020-03-27 14:56:00,366.94,11793
0,NFLX,2020-03-27 14:55:00,367.12,19441
0,NFLX,2020-03-27 14:54:00,366.92,12396
0,NFLX,2020-03-27 14:53:00,366.51,18333
0,NFLX,2020-03-27 14:52:00,365.44,9129
0,NFLX,2020-03-27 14:51:00,365.175,9941
0,NFLX,2020-03-27 14:50:00,365.71,12290
0,NFLX,2020-03-27 14:49:00,366.24,14608
0,NFLX,2020-03-27 14:48:00,366.26,5744
0,NFLX,2020-03-27 14:47:00,365.93,12229
0,NFLX,2020-03-27 14:46:00,366.62,13954
0,NFLX,2020-03-27 14:45:00,366.81,11540
0,NFLX,2020-03-27 14:44:00,366.7948,11192
0,NFLX,2020-03-27 14:43:00,366.9374,6654
0,NFLX,2020-03-27 14:42:00,366.855,12344
0,NFLX,2020-03-27 14:41:00,366.98,23092
0,NFLX,2020-03-27 14:40:00,366.52,16336
0,NFLX,2020-03-27 14:39:00,366.96,13364
0,NFLX,2020-03-27 14:38:00,367.2221,24723
0,NFLX,2020-03-27 14:37:00,367.06,27377
0,NFLX,2020-03-27 14:36:00,366.9036,28936
0,NFLX,2020-03-27 14:35:00,366.55,21295
0,NFLX,2020-03-27 14:34:00,366.16,24562
0,NFLX,2020-03-27 14:33:00,365.74,11481
0,NFLX,2020-03-27 14:32:00,364.795,4865
0,NFLX,2020-03-27 14:31:00,364.61,4357
0,NFLX,2020-03-27 14:30:00,364.5477,7629
0,NFLX,2020-03-27 14:29:00,364.47,8353
0,NFLX,2020-03-27 14:28:00,364.975,4647
0,NFLX,2020-03-27 14:27:00,365.56,14664
0,NFLX,2020-03-27 14:26:00,364.49,12529
0,NFLX,2020-03-27 14:25:00,364.77,9179
0,NFLX,2020-03-27 14:24:00,364.92,9287
0,NFLX,2020-03-27 14:23:00,365.0,7488
0,NFLX,2020-03-27 14:22:00,364.82,8377
0,NFLX,2020-03-27 14:21:00,365.1,10475
